"Num_Acc","an","mois","jour","lum","agg","dep"
"201800000612",18,10,1,"1","2",220
"201800000613",18,12,31,"1","1",220
"201800000614",18,2,5,"2","1",220
"201800000615",18,2,25,"1","1",220
"201800000616",18,5,12,"1","1",220
"201800000617",18,5,12,"3","2",220
"201800000618",18,7,8,"1","1",220
"201800000619",18,8,2,"1","1",220
"201800000620",18,8,19,"1","1",220
"201800000621",18,8,28,"3","1",220
"201800000622",18,8,28,"1","1",220
"201800000623",18,10,20,"1","1",220
"201800000624",18,9,20,"2","1",220
"201800000625",18,10,29,"2","2",220
"201800000626",18,1,12,"5","2",220
"201800000627",18,2,16,"1","1",220
"201800000628",18,2,28,"1","1",220
"201800000629",18,4,14,"3","1",220
"201800000630",18,5,3,"1","2",220
"201800000631",18,6,29,"1","2",220
"201800000632",18,8,28,"3","1",220
"201800000633",18,9,9,"3","1",220
"201800000634",18,10,13,"3","2",220
"201800000635",18,10,13,"4","1",220
"201800000636",18,10,21,"3","1",220
"201800000637",18,11,8,"4","2",220
"201800000638",18,11,25,"1","1",220
"201800000639",18,6,3,"5","2",220
"201800000640",18,7,8,"3","2",220
"201800000641",18,8,16,"1","1",220
"201800000642",18,8,22,"3","1",220
"201800000643",18,8,23,"1","1",220
"201800000644",18,1,20,"5","2",290
"201800000645",18,3,3,"1","2",290
"201800000646",18,3,21,"1","2",290
"201800000647",18,6,16,"3","1",290
"201800000648",18,7,1,"1","1",290
"201800000649",18,7,13,"1","2",290
"201800000650",18,4,15,"1","2",290
"201800000651",18,5,15,"1","2",290
"201800000652",18,7,6,"1","1",290
"201800000653",18,8,6,"1","1",290
"201800000654",18,1,11,"2","1",290
"201800000655",18,2,23,"5","2",290
"201800000656",18,3,3,"1","2",290
"201800000657",18,4,2,"2","1",290
"201800000658",18,4,19,"1","1",290
"201800000659",18,5,20,"1","1",290
"201800000660",18,6,15,"1","2",290
"201800000661",18,7,31,"3","1",290
"201800000662",18,9,7,"1","2",290
"201800000663",18,9,7,"1","1",290
"201800000664",18,11,14,"5","2",290
"201800000665",18,11,28,"3","2",290
"201800000666",18,12,9,"2","1",290
"201800000667",18,2,10,"3","2",290
"201800000668",18,3,3,"1","1",290
"201800000669",18,3,20,"1","1",290
"201800000670",18,3,30,"1","1",290
"201800000671",18,7,19,"1","2",290
"201800000672",18,9,16,"1","1",290
"201800000673",18,11,2,"1","2",290
"201800000674",18,12,4,"3","1",290
"201800000675",18,1,14,"2","2",290
"201800000676",18,1,24,"1","1",290
"201800000677",18,2,17,"3","1",290
"201800000678",18,5,20,"1","1",290
"201800000679",18,8,3,"1","1",290
"201800000680",18,8,25,"1","2",290
"201800000681",18,12,5,"1","1",290
"201800000682",18,1,20,"4","2",560
"201800000683",18,3,30,"1","2",560
"201800000684",18,4,12,"1","2",560
"201800000685",18,4,28,"1","2",560
"201800000686",18,5,22,"1","1",560
"201800000687",18,6,27,"1","2",560
"201800000688",18,7,18,"1","2",560
"201800000689",18,8,11,"2","2",560
"201800000690",18,8,13,"1","2",560
"201800000691",18,8,17,"1","2",560
"201800000692",18,8,31,"1","1",560
"201800000693",18,9,3,"1","2",560
"201800000694",18,9,12,"2","2",560
"201800000695",18,9,17,"2","2",560
"201800000696",18,10,24,"1","2",560
"201800000697",18,12,10,"3","1",560
"201800000698",18,2,8,"3","1",560
"201800000699",18,6,8,"3","1",560
"201800000700",18,7,12,"1","2",560
